,Class,plate_length,plate_width,plate_depth,screw_length,screw_dia,screw_distance
172,1,140,20,5,20,5,10
173,1,140,20,5,20,5,20
174,1,140,20,5,20,7,10
175,1,140,20,5,20,7,20
176,1,140,20,5,40,1,10
177,1,140,20,5,40,1,20
178,1,140,20,5,40,3,10
179,1,140,20,5,40,3,20
180,1,140,20,5,40,5,10
181,1,140,20,5,40,5,20
182,1,140,20,5,40,7,10
183,2,140,20,5,40,7,20
184,1,140,20,5,60,1,10
185,1,140,20,5,60,1,20
186,1,140,20,5,60,3,10
187,1,140,20,5,60,3,20
188,1,140,20,5,60,5,10
189,1,140,20,5,60,5,20
190,2,140,20,5,60,7,10
191,2,140,20,5,60,7,20
192,1,180,10,3,20,1,10
193,1,180,10,3,20,1,20
194,1,180,10,3,20,3,10
195,1,180,10,3,20,3,20
196,1,180,10,3,20,5,10
197,1,180,10,3,20,5,20
198,1,180,10,3,20,7,10
199,1,180,10,3,20,7,20
200,1,180,10,3,40,1,10
201,1,180,10,3,40,1,20
202,1,180,10,3,40,3,10
203,1,180,10,3,40,3,20
204,1,180,10,3,40,5,10
205,1,180,10,3,40,5,20
206,2,180,10,3,40,7,10
207,1,180,10,3,40,7,20
208,1,180,10,3,60,1,10
209,1,180,10,3,60,1,20
210,2,180,10,3,60,3,10
211,1,180,10,3,60,3,20
212,2,180,10,3,60,5,10
213,1,180,10,3,60,5,20
214,2,180,10,3,60,7,10
215,2,180,10,3,60,7,20
216,1,180,10,5,20,1,10
217,1,180,10,5,20,1,20
218,1,180,10,5,20,3,10
219,1,180,10,5,20,3,20
220,1,180,10,5,20,5,10
221,1,180,10,5,20,5,20
222,1,180,10,5,20,7,10
223,1,180,10,5,20,7,20
224,1,180,10,5,40,1,10
225,1,180,10,5,40,1,20
226,1,180,10,5,40,3,10
227,1,180,10,5,40,3,20
228,1,180,10,5,40,5,10
229,1,180,10,5,40,5,20
230,1,180,10,5,40,7,10
231,1,180,10,5,40,7,20
232,1,180,10,5,60,1,10
233,1,180,10,5,60,1,20
234,2,180,10,5,60,3,10
235,1,180,10,5,60,3,20
236,2,180,10,5,60,5,10
237,1,180,10,5,60,5,20
238,2,180,10,5,60,7,10
239,2,180,10,5,60,7,20
240,1,180,20,3,20,1,10
241,1,180,20,3,20,1,20
242,1,180,20,3,20,3,10
243,1,180,20,3,20,3,20
244,1,180,20,3,20,5,10
245,1,180,20,3,20,5,20
246,1,180,20,3,20,7,10
247,1,180,20,3,20,7,20
248,1,180,20,3,40,1,10
249,1,180,20,3,40,1,20
250,1,180,20,3,40,3,10
251,1,180,20,3,40,3,20
252,1,180,20,3,40,5,10
253,1,180,20,3,40,5,20
254,1,180,20,3,40,7,10
255,1,180,20,3,40,7,20
256,1,180,20,3,60,1,10
257,1,180,20,3,60,1,20
258,1,180,20,3,60,3,10
259,1,180,20,3,60,3,20
260,2,180,20,3,60,5,10
261,1,180,20,3,60,5,20
262,2,180,20,3,60,7,10
263,2,180,20,3,60,7,20
264,1,180,20,5,20,1,10
265,1,180,20,5,20,1,20
266,1,180,20,5,20,3,10
267,1,180,20,5,20,3,20
268,1,180,20,5,20,5,10
269,1,180,20,5,20,5,20
270,1,180,20,5,20,7,10
271,1,180,20,5,20,7,20
272,1,180,20,5,40,1,10
273,1,180,20,5,40,1,20
